,text
95,A paper led by Kuzuhara and Fukui was published May  in The Astrophysical Journal Letters
96,The Dholakia and Palethorpe findings were published in Monthly Notices of the Royal Astronomical Society on the same day
97,During a transit the host stars light passes through any atmosphere
98,Different gas molecules absorb different colors so the transit provides a set of chemical fingerprints that can be detected by telescopes like Webb
99,We know of only a handful of temperate planets similar to Earth that are both close enough to us and meet other criteria needed for this kind of study called transmission spectroscopy using current facilities said Michael McElwain a research astrophysicist at NASAs Goddard Space Flight Center in Greenbelt Maryland and a coauthor of the Kuzuhara and Fukui paper
100,To better understand the diversity of atmospheres and evolutionary outcomes for these planets we need more examples like Gliese  b
101,TESS is a NASA Astrophysics Explorer mission managed by NASA Goddard and operated by MIT in Cambridge Massachusetts
102,Additional partners include Northrop Grumman based in Falls Church Virginia NASAs Ames Research Center in Californias Silicon Valley the Center for Astrophysics  Harvard  Smithsonian in Cambridge Massachusetts MITs Lincoln Laboratory and the Space Telescope Science Institute in Baltimore
103,More than a dozen universities research institutes and observatories worldwide are participants in the mission
104,Download additional images and video from NASAs Scientific Visualization Studio By Francis Reddy NASAs Goddard Space Flight Center Greenbelt Md
105,billion years ago the universe began with a rapid expansion we call the big bang
106,Nine billion years after the universe began its expansion started to speed up driven by an unknown force that scientists have named dark energy
107,But we do know that it exists its making the universe expand at an accelerating rate and approximately
108,The history of the universe is outlined in this infographic
109,NASA A Brief History It All Started With Cepheids Dark energy wasnt discovered until the late s
110,All Cepheid stars with a certain period a Cepheids period is the time it takes to go from bright to dim and bright again have the same absolute magnitude or luminosity  the amount of light they put out
111,Leavitt measured these stars and proved that there is a relationship between their regular period of brightness and luminosity
112,Leavitts findings made it possible for astronomers to use a stars period and luminosity to measure the distances between us and Cepheid stars in faroff galaxies and our own Milky Way
113,Around this same time in history astronomer Vesto Slipher observed spiral galaxies using his telescopes spectrograph a device that splits light into the colors that make it up much like the way a prism splits light into a rainbow
114,He used the spectrograph a relatively recent invention at the time to see the different wavelengths of light coming from the galaxies in different spectral lines
115,These observations would prove to be critical for many future scientific breakthroughs including the discovery of dark energy
116,Light behaves like a wave and red light has the longest wavelength
117,So the light coming from objects moving away from us has a longer wavelength stretching to the red end of the electromagnetic
118,In the years that followed different scientists around the world started to put the pieces of an expanding universe together
119,In  Russian scientist and mathematician Alexander Friedmann published a paper detailing multiple possibilities for the history of the universe
120,Astronomer Edwin Hubble confirmed that the universe was expanding in  using observations made by his associate astronomer Milton Humason
121,Hubble and Humason then studied Cepheid stars in those galaxies using the stars to determine the distance of their galaxies or nebulae as they called them
122,The pair found that objects like galaxies are moving away from Earth faster the farther away they are at upwards of hundreds of thousands of miles per second  an observation now known as Hubbles Law or the HubbleLematre law
123,This composite image features one of the most complicated and dramatic collisions between galaxy clusters ever seen
124,Known officially as Abell  this system has been dubbed Pandoras Cluster because of the wide variety of different structures found
125,Astronomers think at least four galaxy clusters coming from a variety of directions are involved with this collision
126,These groups were led by astronomers Adam Riess Saul Perlmutter and Brian Schmidt
127,This trio won the  Nobel Prize in Physics for this work
128,So they knew that there must be another factor making these objects appear dimmer
129,Scientists can determine distance and speed using an objects brightness and dimmer objects are typically farther away though surrounding dust and other factors can cause an object to dim
130,This led the scientists to conclude that these supernovae were just much farther away than they expected by looking at their redshifts
131,Using the objects brightness the researchers determined the distance of these supernovae
132,They found that the supernovae were not as close as expected meaning they had traveled farther away from us faster than ancitipated
133,These observations led scientists to ultimately conclude that the universe itself must be expanding faster over time
134,While other possible explanations for these observations have been explored astronomers studying even more distant supernovae or other cosmic phenomena in more recent years continued to gather evidence and build support for the idea that the universe is expanding faster over time a phenomenon now called cosmic acceleration
135,Dark energy has been described by some as having the effect of a negative pressure that is pushing space outward
136,Keep in mind that its possible its something else entirely
137,Originally the constant existed to counterbalance gravity resulting in a static universe
138,They suggested that this additional force would be necessary to accelerate the expansion of the universe
139,According to quantum field theory there are virtual particles or pairs of particles and antiparticles
140,Its thought that these virtual particles cancel each other out almost as soon as they crop up in the universe and that this act of popping in and out of existence could be made possible by vacuum energy that fills the cosmos and pushes space outward
141,This means that the amount of vacuum energy in the cosmos must be much smaller than it is in these predictions
142,Quintessence Some scientists think that dark energy could be a type of energy fluid or field that fills space behaves in an opposite way to normal matter and can vary in its amount and distribution throughout both time and space
143,This hypothesized version of dark energy has been nicknamed quintessence after the theoretical fifth element discussed by ancient Greek philosophers
144,Its even been suggested by some scientists that quintessence could be some combination of dark energy and dark matter though the two are currently considered completely separate from one another
145,While the two are both major mysteries to scientists dark matter is thought to make up about  of all matter in the universe
146,A Flaw in General Relativity Some scientists think that dark energy isnt something physical that we can discover
147,Within this explanation scientists think that its possible to modify our understanding of gravity in a way that explains observations of the universe made without the need for dark energy
148,Einstein actually proposed such an idea in  called unimodular gravity a modified version of general relativity that scientists today think wouldnt require dark energy to make sense of the universe
149,The Future Dark energy is one of the great mysteries of the universe
150,This map will include observations of billions of galaxies found up to  billion lightyears from Earth
151,NASAs Nancy Grace Roman Space Telescope set to launch by May  is designed to investigate dark energy among many other science topics and will also create a D dark matter map
152,Romans resolution will be as sharp as NASAs Hubble Space Telescopes but with a field of view  times larger allowing it to capture more expansive images of the universe
153,Roman will also conduct an additional survey to detect Type Ia supernovae In addition to NASAs missions and efforts the Vera C
154,Rubin Observatory supported by a large collaboration that includes the U
155,Additionally NASAs James Webb Space Telescope launched in  the worlds most powerful and largest space telescope aims to make contributions to several areas of research and will contribute to studies of dark energy
156,NASAs SPHEREx the SpectroPhotometer for the History of the Universe Epoch of Reionization and Ices Explorer mission scheduled to launch no later than April  aims to investigate the origins of the universe
157,A brief note Lastly to clarify dark energy is not the same as dark matter
158,Credit Ed Bell for Simons Foundation The Discovery A planet that could resemble a smaller version of our own Neptune orbits one of two Sunlike stars that also orbit each other
159,The planet dwells in the habitable zone with a potentially moderate temperature and poses a challenge to prevailing ideas of planet formation
160,Key Facts Astronomers once imagined that our solar system  with its middleaged quiet Sun hosting small rocky planets in closer orbits and gas giants farther out  might be typical even runofthemill
161,But so far in an era of increasingly powerful planethunting technology its turning out to be anything but
162,Other planetary systems can look very different if not downright weird or are we the weird ones
163,A system called TOI  seems truly strange a mysterious type of planet known as a miniNeptune traces an Earthlike day orbit around one of two stars locked in their own orbital embrace
164,Details Among the thousands of exoplanets  planets beyond our solar system  confirmed in our galaxy so far most were detected using the transit method measuring the tiny dip in starlight as a planet crosses the face of its star
165,And most of these transit detections involve planets with short orbits their years  once around the star  lasting a few days or weeks
166,So the detection of planet TOI  c was a welcome departure
167,That isnt only because its day orbit places it in fairly exclusive company  transiting planets found so far with years longer than  days and only  over  days
168,The planet detected using TESS the Transiting Exoplanet Survey Satellite also orbits in the habitable zone the distance from a star that could allow liquid water to form on a planetary surface
169,For planet c of course thats almost certainly not the case it most likely has a large dense atmosphere perhaps similar to Neptunes that would rule out surface water
170,The longer a planets orbital period the more likely it is to host a satellite so it isnt difficult to imagine a potentially habitable moon  la the fictional Pandora
171,The brightness of this system could make it a likely target in the continuing search for such exomoons
172,Measurements using a second detection method revealed a possible sibling planet with a day orbit
173,This one does not from Earths perspective cross the face of its star so its potential presence was revealed by radial velocity
174,The light coming from a star shifts slightly to and fro as the gravity of an orbiting planet tugs it one way then another followup investigations will be needed to confirm that the sibling planet suggested by radial velocity measurements is really there
175,Further investigation of this system also could prove important for understanding binary star systems or pairs of stars that orbit each other
176,A companion star in this case orbits the primary star in just  years allowing them to approach each other closely by interstellar standards
177,Scientists investigating the system also got an assist from more than a century ago archival data that was part of the Washington Double Star Catalog maintained by the U
178,The Discoverers An international team led by astrophysicist Nora L
179,Eisner of the Flatiron Institute in New York published the study Planet Hunters TESS
180,A Planetary System Around a Binary Star Including a MiniNeptune in the Habitable Zone in The Astronomical Journal on April
181,MIN READ Discovery Alert An Earthsized World and Its Ultracool Star An artists concept of the exoplanet SPECULOOS b orbiting its red dwarf star
182,The planet is as big around as Earth while its star is slightly bigger than Jupiter  but much more massive
183,Credit NASAJPLCaltech Our galaxy is a jewel box of red stars
184,More than  of the stars in the Milky Way are M dwarfs also known as red dwarfs
185,These stars are cool and dim compared with our Sun but they often blast orbiting exoplanets with highenergy radiation especially early in their lives
186,Stars like our Sun burn for about  billion years before turning into hungry red giants devouring any planets too nearby
187,M dwarfs keep burning for  billion years or more perhaps offering a foothold for life and an even longer window for life to develop
188,An international team using robotic telescopes around the world recently spotted an Earthsized planet orbiting an ultracool red dwarf the dimmest and longestlived of stars
189,A year there one orbit around the star takes about  hours
190,The days and nights though may never end The planet is thought to be tidally locked so the same side known as the dayside always faces the star like the Moon to Earth
191,The Details In our corner of the galaxy ultracool dwarf stars are ubiquitous
192,They are so faint that their planetary population is largely unexplored
193,The SPECULOOS Search for Planets EClipsing ULtracOOl Stars project led by Michael Gillon at the University of Lige Belgium was designed to change that
194,Ultracool dwarf stars are scattered across the sky so you need to observe them one by one for weeks to get a good chance to detect transiting planets
195,For that you need a dedicated network of professional telescopes
196,We designed SPECULOOS specifically to explore nearby ultracool dwarf stars in search of rocky planets Gillon said
197,With the SPECULOOS prototype and the crucial help of the NASA Spitzer Space Telescope we discovered the famous TRAPPIST system
198,That was an excellent start Gillon is the lead author of the paper announcing the planets discovery published May   in Nature Astronomy
199,The project is a true international endeavor with partnership with the Universities of Cambridge Birmingham Bern Massachusetts Institute of Technology and ETH Zrich
200,The SPECULOOS star is thousands of degrees cooler than our Sun with an average temperature of about  F  C but it pummels its planet with radiation meaning theres likely no atmosphere
201,Seeing the star let alone the planet is a feat in itself
202,Though this particular red dwarf is more than a thousand times dimmer than the Sun its planet orbits much much closer than the Earth heating up the planetary surface said coauthor Catherine Clark a postdoctoral researcher at NASAs Jet Propulsion Laboratory in Southern California
203,Fun facts While the planet is as big around as Earth its star is just a tad bigger than Jupiter  but much more massive
204,The planet receives almost  times more energy per second than Earth receives from the Sun
205,Did you catch the cookie connection The planetfinding program SPECULOOS shares its name with the spiced shortbread
206,Sweet  The Next Steps SPECULOOS b is an excellent candidate for followup observations by the James Webb Space Telescope
207,Not only might we learn about the potential for an atmosphere and about the surface mineralogy but it might also help us understand the stellar neighborhood and our place in it
208,Were making great strides in our study of planets orbiting other stars
209,The next step will be to determine whether any of them are habitable or even inhabited said Steve B
210,gov and  social accounts growing the latter from a following of  to over
211,This Discovery Alert and the associated illustration are among the final pieces of Kristens work for NASA Exoplanets
212,Scattered across the universe black holes are objects with gravity so powerful nothing can escape their grasp
213,Seen nearly edgewise the turbulent disk of gas churning around a black hole takes on a bizarre doublehumped appearance
214,NASAs Goddard Space Flight CenterJeremy Schnittman Scientists have theorized about the existence of black holes since the th century
215,Now astronomers have a growing understanding of these strange gravitational powerhouses that form from the collapsed cores of dying stars
216,While scientists have dramatically improved our understanding of black holes since that first detection these objects remain quite mysterious
217,This is in part because light cant escape from a black hole so they cannot be observed directly with telescopes
218,Instead astronomers primarily look for the ways that black holes influence and distort matter around them
219,While there are objects just as massive as some black holes they dont have the same density
220,Black holes are extremely massive but that mass is concentrated in a smaller area creating a high density that increases the maximum force of a black holes gravity by allowing objects to get very close to all of that mass
221,So tidal forces refer to the distortion of one object by another due to the difference in the gravitational pull on the near and far side of an object
222,Due to a black holes extreme density objects in its vicinity will experience extreme gravity and hence extreme tidal forces that can even pull the object apart
223,Watch eight model stars stretch and deform as they approach a virtual black hole  million times the mass of the Sun
224,The black hole rips some stars apart into a stream of gas a phenomenon called a tidal disruption event
225,For any object falling into a black hole the part closer to the black hole will feel a stronger gravitational pull than the part farther away from the black hole
226,This difference in gravitational pull increases as the object gets closer to the event horizon
227,The difference in gravitational pull isnt unique to black holes but their extreme density creates an extreme effect
228,This effect essentially stretches out the object more and more as the object gets closer to the black hole creating a long thin shape
229,In the book Hawking describes a fictional astronauts journey into a black holes event horizon
230,Just as gravity close to a black hole can stretch things out it can also flatten objects like pancakes
231,This is a phenomenon known as pancake detonation that primarily happens with supermassive black holes
232,In this phenomenon stars that get too close to these black holes will be flattened and compressed by tidal forces
233,This shortlived pancake distortion is followed by an explosive release of thermonuclear energy
234,This happens because massive objects like black holes create strong gravitational fields that curve and stretch the fabric of spacetime
235,We actually experience a very small amount of time dilation here on Earth because of Earths gravity
236,Astronauts living on the International Space Station also experience time at a slightly different rate because they are further from the gravitational pull of the Earth
237,To imagine time dilation in action picture an object traveling towards a black hole
238,As the object approaches the event horizon it appears to start moving infinitely slower until the object will appear completely frozen
239,Here gas and dust will collect swirl and flatten into this pancakeshaped disk
240,Matter in an accretion disk will continue to swirl and fall toward the event horizon of a black hole
241,As an object gets closer and closer the gravitational force will intensify and the matter will continue to be pulled apart and spaghettify
242,By its very nature a black hole cannot be seen but the hot disk of material that encircles it shines bright
243,Against that bright backdrop a black hole can appear to cast a shadow
244,In April  an international network of radio telescopes called the Event Horizon Telescope EHT captured this image of a black hole and its shadow for the first time
245,As matter in an accretion disk falls further inward towards a black hole it swirls around and the friction from this movement can create light ranging from radio waves to visible light and Xrays
246,Sometimes black holes can even redirect some of that infalling matter into jets of highspeed particles traveling away from the black hole that can emit gamma rays
247,Astronomers can use these jets of radiation to find black holes
248,All in all matter near a black hole can be spaghettified superheated squeezed pancaked pulled apart and swirled around all while time itself stretches in unusual ways
249,This is one part of the story that remains a mystery
250,NASA ESA CSA Ralf Crawford STScI The Problem with WASP b At more than threequarters the volume of Jupiter but less than onetenth the mass the warm Neptune exoplanet WASP b is one of the least dense planets known
251,While puffy planets are not uncommon most are hotter and more massive and therefore easier to explain
252,Based on its radius mass age and assumed internal temperature we thought WASP b had a very small rocky core surrounded by a huge mass of hydrogen and helium explained Luis Welbanks from Arizona State University ASU lead author on a paper published today in Nature
253,If WASP b instead has more of its mass in the core the atmosphere should have contracted as the planet cooled over time since it formed
254,Without a source of heat to reexpand the gas the planet should be much smaller
255,Although WASP b has an orbital distance of just  million miles oneseventh the distance between Mercury and the Sun it doesnt receive enough energy from its star to be so inflated
256,WASP b is such an interesting target for Webb because its significantly cooler and more Neptunelike in mass than many of the other lowdensity planets the hot Jupiters weve been studying said David Sing from the Johns Hopkins University JHU lead author on a parallel study also published today in Nature
257,As a result we should be able to detect methane and other molecules that can give us information about its chemistry and internal dynamics that we cant get from a hotter planet
258,Combining observations from Webbs NIRCam NearInfrared Camera Webbs MIRI MidInfrared Instrument and Hubbles WFC Wide Field Camera  Welbanks team was able to build a broad spectrum of
259,Using Webbs NIRSpec NearInfrared Spectrograph Sings team built an independent spectrum covering
260,The precision of the data makes it possible to not just detect but actually measure the abundances of a wealth of molecules including water vapor HO methane CH carbon dioxide CO carbon monoxide CO sulfur dioxide SO and ammonia NH
261,The spectrum includes light collected over four separate observations using a total of three different instruments Hubbles WFC Wide Field Camera  Grism Spectrometer in green Webbs NIRCam NearInfrared Camera Grism Spectrometer in orange and Webbs MIRI MidInfrared Instrument LowResolution Spectrometer in pink
262,This is evidence that hot gas from deep in the planet must be mixing vigorously with the cooler layers higher up explained Sing
263,The fact that we detected so little even though we did detect other carbonbearing molecules tells us that the interior of the planet must be significantly hotter than we thought
264,A likely source of WASP bs extra internal energy is tidal heating caused by its slightly elliptical orbit
265,With the distance between the star and planet changing continuously over the
266,day orbit the gravitational pull is also changing stretching the planet and heating it up
267,Researchers had previously proposed that tidal heating could be the cause of WASP bs puffiness but until the Webb results were in there was no evidence
268,Once they established that the planet has enough internal heat to thoroughly churn up the atmosphere the teams realized that the spectra could also provide a new way to estimate the size of the core
269,All together WASP b is not as mysterious as it once appeared
270,The Webb data tells us that planets like WASP b didnt have to form in some odd way with a super small core and a huge gassy envelope explained Mike Line from ASU
271,Instead we can take something more like Neptune with a lot of rock and not as much gas just dial up the temperature and poof it up to look the way it does
272,The James Webb Space Telescope is the worlds premier space science observatory
273,Webb is solving mysteries in our solar system looking beyond to distant worlds around other stars and probing the mysterious structures and origins of our universe and our place in it
274,Webb is an international program led by NASA with its partners ESA European Space Agency and CSA Canadian Space Agency
275,Downloads Right click any image to open or save a larger version in a new tabwindow via the browsers popup menu
276,ViewDownload full resolution images for this article from the Space Telescope Science Institute
277,Research Paper A high internal heat flux and large core in a warm Neptune exoplanet by L
278,Research Paper A warm Neptunes methane reveals core mass and vigorous atmospheric mixing by D
279,In this visualization of a flight toward a supermassive black hole labels highlight many of the fascinating features produced by the effects of general relativity along the way
280,Produced on a NASA supercomputer the simulation tracks a camera as it approaches briefly orbits and then crosses the event horizon  the point of no return  of a monster black hole much like the one at the center of our galaxy
281,Explainer videos act as sightseeing guides illuminating the bizarre effects of Einsteins general theory of relativity
282,Versions rendered as degree videos let viewers look all around during the trip while others play as flat allsky maps
283,To create the visualizations Schnittman teamed up with fellow Goddard scientist Brian Powell and used the Discover supercomputer at the NASA Center for Climate Simulation
284,The project generated about  terabytes of data  equivalent to roughly half of the estimated text content in the Library of Congress  and took about  days running on just
285,The same feat would take more than a decade on a typical laptop
286,million times the mass of our Sun equivalent to the monster located at the center of our Milky Way galaxy
287,If you have the choice you want to fall into a supermassive black hole Schnittman explained
288,This occurs because the gravitational pull on the end of an object nearer the black hole is much stronger than that on the other end
289,Infalling objects stretch out like noodles a process astrophysicists call spaghettification
290,The simulated black holes event horizon spans about  million miles  million kilometers or about  of the distance from Earth to the Sun
291,A flat swirling cloud of hot glowing gas called an accretion disk surrounds it and serves as a visual reference during the fall
292,A backdrop of the starry sky as seen from Earth completes the scene
293,Tour an alternative visualization that tracks a camera as it approaches falls toward briefly orbits and escapes a supermassive black hole
294,This immersive degree version allows viewers to look around during the flight
295,Powell View the flyby explainer on YouTube As the camera approaches the black hole reaching speeds ever closer to that of light itself the glow from the accretion disk and background stars becomes amplified in much the same way as the sound of an oncoming racecar rises in pitch
296,The movies begin with the camera located nearly  million miles  million kilometers away with the black hole quickly filling the view
297,Along the way the black holes disk photon rings and the night sky become increasingly distorted  and even form multiple images as their light traverses the increasingly warped spacetime
298,In real time the camera takes about  hours to fall to the event horizon executing almost two complete minute orbits along the way
299,But to anyone observing from afar it would never quite get there
300,As spacetime becomes ever more distorted closer to the horizon the image of the camera would slow and then seem to freeze just shy of it
301,At the event horizon even spacetime itself flows inward at the speed of light the cosmic speed limit
302,Once the camera crosses the horizon its destruction by spaghettification is just
303,This final leg of the voyage is over in the blink of an eye
304,In the alternative scenario the camera orbits close to the event horizon but it never crosses over and escapes to safety
305,If an astronaut flew a spacecraft on this hour round trip while her colleagues on a mothership remained far from the black hole shed return  minutes younger than her colleagues
306,Download highresolution video and images from NASAs Scientific Visualization Studio By Francis Reddy NASAs Goddard Space Flight Center Greenbelt Md
307,MIN READ NASA Collaborating on Europeanled Gravitational Wave Observatory in Space The LISA Laser Interferometer Space Antenna mission led by ESA European Space Agency with NASA contributions will detect gravitational waves in space using three spacecraft separated by more than a million miles flying in a triangular formation
308,AEIMMExozet The first spacebased observatory designed to detect gravitational waves has passed a major review and will proceed to the construction of flight hardware
309,ESA European Space Agency announced the formal adoption of LISA the Laser Interferometer Space Antenna to its mission lineup with launch slated for the mids
310,ESA leads the mission with NASA serving as a collaborative partner
